category,book_name,book_explain,author,publisher,publish_date,price,rate,book_imgurl,keywords,book_type,info_text,num_of_page,topic,probability
슬픔,초판본 젊은 베르테르의 슬픔(미니북)(1774년 오리지널 초판본 표지디자인),No book_explain exists,괴테 저자(글),더스토리,2023년 08월 31일,"3,510원",10.0,https://contents.kyobobook.co.kr/sih/fit-in/200x0/pdt/9791164457779.jpg,소설 권총 약혼녀 연미복 자전 죽음 사이,소설,"“운명이여, 나는 왜 이리도 행복하고 왜 이리도 불행한가!정녕 나보다 행복한 이도 없고, 나보다 비참한 이도 없구나!”청춘의 질풍노도의 마음, 그 강렬한 열정과 휘몰아치는 감정을가장 순수한 형태로 표현한 작품 《젊은 베르테르의 슬픔》단테, 셰익스피어와 함께 세계 3대 시성으로 꼽히는 괴테의 자전적 소설. “나는 체험하지 않은 것은 한 줄도 쓰지 않았다. 그러나 단 한 줄의 문장도 체험한 것 그대로 쓰지는 않았다”는 말처럼, 주인공 베르테르는 괴테 자신이자, 우리 ‘상처받기 쉬운 영혼’들의 초상화와도 같다. 사랑과 도덕, 광기와 이성, 행복과 불행, 삶과 죽음 사이에서 고뇌하는 베르테르에게 우리가 공감하는 이유다. 편지글로 이루어진 구성이, 마치 베르테르가 직접 독자에게 고백하는 듯해서 더욱 강렬하게 몰입하게 된다.괴테는 법학을 전공하고 베츨러라는 도시에서 법무 실습을 시작했던 어느 봄날, 동료 케스트너의 약혼녀인 샤를로테를 보고 한눈에 사랑에 빠진다. 그는 괴로워하다가 상심한 마음으로 고향으로 돌아갔는데, 반년쯤 지나서 충격적인 이야기를 듣는다. 또다른 동료였던 예루잘렘이 결혼한 여인에 대한 연정으로 괴로워하다가, 바로 케스트너의 권총을 빌려서 스스로 생을 마감했다는 것! 그로부터 약 2년 후, 괴테는 《젊은 베르테르의 슬픔》을 집필했다. ’여행을 떠날 예정인데 권총을 빌려 주시겠소?’라는 예루잘렘의 메모 내용이며 자신이 겪었던 사랑의 열병을 그대로 담아낸 자전적 소설이었다.유럽의 젊은이들은 25세 젊은 작가의 작품에, ‘베르테르의 파란 연미복과 노란 조끼’ 차림에 열광했다. 프랑스혁명의 기운이 익어가던 시기(1789년으로부터 15년 전), 교회의 권위에서 벗어나 계몽주의 교육을 받았지만 현실에서는 여전히 ‘사회적 신분(왕족-귀족-평민)’에 가로막혀 답답해하던 젊은이들은, 누구보다 순수하게 사랑하고 뜨겁게 고민하고 결국에는 사회적 금기를 깨뜨리며 틀에서 탈출하는 베르테르를 자신들과 동일시했던 것이다.",328쪽,Topic #1,0.8634428354326895
슬픔,젊은 베르테르의 슬픔(초판본),(더스토리 초판본 시리즈),"요한 볼프강 폰 괴테 저자(글), 허승진 번역",더스토리,2022년 07월 15일,"10,620원",9.85,https://contents.kyobobook.co.kr/sih/fit-in/200x0/pdt/9791164455867.jpg,청춘 열정 독일고전소설,소설,"“운명이여, 나는 왜 이리도 행복하고 왜 이리도 불행한가!정녕 나보다 행복한 이도 없고, 나보다 비참한 이도 없구나!” 청춘의 질풍노도의 마음, 그 강렬한 열정과 휘몰아치는 감정을 가장 순수한 형태로 표현한 작품 《젊은 베르테르의 슬픔》단테, 셰익스피어와 함께 세계 3대 시성으로 꼽히는 괴테의 자전적 소설. “나는 체험하지 않은 것은 한 줄도 쓰지 않았다. 그러나 단 한 줄의 문장도 체험한 것 그대로 쓰지는 않았다”는 말처럼, 주인공 베르테르는 괴테 자신이자, 우리 ‘상처받기 쉬운 영혼’들의 초상화와도 같다. 사랑과 도덕, 광기와 이성, 행복과 불행, 삶과 죽음 사이에서 고뇌하는 베르테르에게 우리가 공감하는 이유다. 편지글로 이루어진 구성이, 마치 베르테르가 직접 독자에게 고백하는 듯해서 더욱 강렬하게 몰입하게 된다.괴테는 법학을 전공하고 베츨러라는 도시에서 법무 실습을 시작했던 어느 봄날, 동료 케스트너의 약혼녀인 샤를로테를 보고 한눈에 사랑에 빠진다. 그는 괴로워하다가 상심한 마음으로 고향으로 돌아갔는데, 반년쯤 지나서 충격적인 이야기를 듣는다. 또다른 동료였던 예루잘렘이 결혼한 여인에 대한 연정으로 괴로워하다가, 바로 케스트너의 권총을 빌려서 스스로 생을 마감했다는 것! 그로부터 약 2년 후, 괴테는 《젊은 베르테르의 슬픔》을 집필했다. ’여행을 떠날 예정인데 권총을 빌려 주시겠소?’라는 예루잘렘의 메모 내용이며 자신이 겪었던 사랑의 열병을 그대로 담아낸 자전적 소설이었다.유럽의 젊은이들은 25세 젊은 작가의 작품에, ‘베르테르의 파란 연미복과 노란 조끼’ 차림에 열광했다. 프랑스혁명의 기운이 익어가던 시기(1789년으로부터 15년 전), 교회의 권위에서 벗어나 계몽주의 교육을 받았지만 현실에서는 여전히 ‘사회적 신분(왕족-귀족-평민)’에 가로막혀 답답해하던 젊은이들은, 누구보다 순수하게 사랑하고 뜨겁게 고민하고 결국에는 사회적 금기를 깨뜨리며 틀에서 탈출하는 베르테르를 자신들과 동일시했던 것이다.",256쪽,Topic #1,0.8634428354326895
슬픔,젊은 베르테르의 슬픔(미니북),(더클래식 세계문학 컬렉션 미니북  5),"요한 볼프강 폰 괴테 저자(글), 허승진 번역",더클래식,2023년 08월 31일,"3,510원",0.0,https://contents.kyobobook.co.kr/sih/fit-in/200x0/pdt/9791164457342.jpg,사랑 열병 문학 작품 독일 문학 서간체 연미복,소설,"독일 문학의 대문호, 낭만주의자 괴테  고독하면서도 열렬한 사랑의 열병을 전하다. “나는 체험하지 않은 것은 한 줄도 쓰지 않았다. 그러나 단 한 줄의 문장도 체험한 것 그대로 쓰지는 않았다.” _괴테괴테는 80년 넘는 생애 동안 시와 소설, 희곡과 산문, 그리고 많은 양의 서한을 남겼다. 즉, 그는 《젊은 베르테르의 슬픔》같은 베스트셀러에서 《파우스트》같은 대작에 이르기까지 다양하고도 폭넓은 작품을 선보였다. 《젊은 베르테르의 슬픔》은 18세기 전 유럽을 떠들썩하게 한 신드롬이자 가장 성공한 문학 작품이라 해도 과언이 아니다. ‘베르테르 효과’가 일어날 정도로 많은 사람들이 소설 속 자살을 시도했으며, 새로운 낭만적인 사랑을 꿈꾸며 이혼하는 사람들도 생겨났다. 더 나아가 주인공 베르테르가 입던 푸른 연미복과 노란 바지가 유행했으며, 그의 화술을 따라하는 젊은이들도 많았다. ‘베르테르의 열병’이라 할 정도로 뜨거웠던 《젊은 베르테르의 슬픔》은 오늘날에도 여전히 많은 독자들의 사랑을 받고 있다. 괴테는 총으로 스스로를 죽이는 베르테르의 모습을 통해, 죽음 또한 사랑의 열정으로 승화시켜 버렸다. 비극적 결말, 청춘의 사랑, 아름다운 자연의 묘사가 모두 어우러지면서 예술적으로 완성된 구도를 이룬 것은 물론 독일 서구 소설의 한 원형을 이루었다. 문학 작품이 한 시대나, 공간을 뛰어넘어 여전히 사랑받을 수 있다는 증거를 여실히 보여 주는 작품이다.  《젊은 베르테르의 슬픔》은 괴테의 나이 25세 때인 1774년에 불과 14주 만에 완성된 작품으로 출간되자마자 독일은 물론 유럽 전역에 엄청난 화제를 불러일으켰다. 많은 비평가들은 괴테의 많은 작품들이 자전적이라고 평가한다. 《젊은 베르테르의 슬픔》이 서간체 형식을 빌려 쓰였으며, 소설 속 주인공들과 괴테 자신이 체험한 일과 관련된 사람들 사이에 일치하는 점 때문이다. 편지는 자기 고백과 영혼 표현의 열망에 처음으로 탐닉했던 그 시대의 가장 내밀한 의사 전달의 형식이었다. 편지는 공감하는 상대를 전제로 한 고백이고, 이 같은 전달을 통해 개별적인 체험에 인간의 보편적 가치를 부여할 수 있기 때문이다. 그렇기 때문에 《젊은 베르테르의 슬픔》은 사랑에 빠져 마침내 자살하고 만 베르테르의 순수한 열정과 사랑을 더 충실히 담아낸 작품이다. 괴테는 ‘베르테르’를 통해 인간 본연의 사랑과 열정에 대한 찬사를 있는 그대로 보여줌으로써, 오히려 예술적이고 이상적인 감정으로 승화했다. 괴테는 유일하게 독일적인 예외다. 괴테는 하나의 문화다. _프리드리히 니체",328쪽,Topic #1,0.8546623056745852
슬픔,젊은 베르테르의 슬픔,(세계문학전집  42),"요한 볼프강 폰 괴테 저자(글), 안장혁 번역",문학동네,2010년 08월 23일,"8,100원",9.56,https://contents.kyobobook.co.kr/sih/fit-in/200x0/pdt/9788954611824.jpg,세계고전문학 사랑 죽음 서간 약혼녀 열정,소설,"당신을 위해 나를 바칠 수만 있다면!. 독일 문학을 세계문학의 반열에 올려놓은 작가 괴테의 비극적 소설『젊은 베르테르의 슬픔』. 샤를로테 부프에 대한 괴테 자신의 짝사랑과 그의 친구 카를 빌헬름 예루잘렘의 죽음을 그린 작품이다. 사회에 융화하지 못하고 일상적인 삶에 적응하는 데 서투른 젊은 예술가의 마음을 감각적으로 그려낸 이 작품은 유럽 문학에 등장한 최초의 위대한 비극 소설로 평가받고 있다. 계몽주의로 대변되는 이성 만능의 조류에 감성의 우위를 운위하며 새로운 사랑의 방식을 창출하고, 정체된 시민 사회구조를 개인의 주체성의 시각에서 비판한다.. 예민하고 낭만적인 성격의 청년 베르테르는 독일의 한 아름다운 고장을 방문했다가 사랑스러운 여인 로테를 보고 한눈에 반하게 된다. 그녀가 이미 알베르트와 약혼한 것과 다름없는 사이라는 것을 알면서도 그녀를 향한 자신의 열정을 억누르지 못한 베르테르는 결국 그 사랑으로 인해 극단적인 절망의 고통 속으로 빠져 드는데….",213쪽,Topic #1,0.8453401142504682
슬픔,그렇게 우리의 이름이 되는 것이라고,No book_explain exists,신유진 저자(글),1984BOOKS,2023년 04월 18일,"13,500원",10.0,https://contents.kyobobook.co.kr/sih/fit-in/200x0/pdt/9791190533300.jpg,소설 불행 얼룩 수연 첼시 독백,소설,"파리에서 테러 사건으로 연인을 잃은 소은의 이야기(그렇게 우리의 이름이 되는 것이라고), 끝나버린 연극처럼 막이 내린 세계와 나의 사랑(끝난 연극에 대하여), 마지막 순간을 맞은 오랜 연인을 향한 독백(첼시 호텔 세 번째 버전), 때로는 간절했고, 때로는 무책임했던 시절의 얼룩들(얼룩이 된 것들), 먼바다에 빠졌을지도 모르는 청춘을 부르는 절망의 노래(바다에 빠지지 않도록).다섯 편의 소설을 담은, 신유진의 『그렇게 우리의 이름이 되는 것이라고』에는 상실을 마주하는 인물들이 살고 있다. 사랑을, 사람을, 시절을 잃은 이들의 하루, 낮은 목소리로 상실을 읊조리는 절망들, 체념들, 스스로를 향한 위로들, 그리고 다짐들. 소설은 이제 없는 것들의 부재를 기록하며 그것이 언젠가는 분명히 존재했음을, 그것들을 잃었으나 결코 잊지는 않았음을 말한다. 그러니 아주 사라진 것은 아니라고, 비록 보잘것없는 얼룩으로 남았을지라도.",192쪽,Topic #1,0.825144869270605
슬픔,슬픔이 없는 십오 초,심보선 시집 (문학과지성 시인선  346),심보선 저자(글),문학과지성사,2008년 04월 18일,"10,800원",9.47,https://contents.kyobobook.co.kr/sih/fit-in/200x0/pdt/9788932018508.jpg,한국시 상학자 미망 현대시 피붙이 낮달,시/에세이,"철학적 사유와 삶의 노래가 담긴 심보선의 첫 시집. 심보선의 첫 번째 시집『슬픔이 없는 십오 초』. 1994년 조선일보 신문문예로 등단한 시인이 데뷔 14년 만에 처음으로 펴낸 시집이다. 등단작 《풍경》을 비롯하여 14년간 시인이 쓰고 발표해온 58편의 시를 묶었다. 오랜 세월 간직한 일기장에서 나옴직한 말들과 구체적이고 내밀한 개인의 경험들을 풀어내고 있다.  이 시집은 총 3부로 구성되어 있다. 전반부에서는 세계와 나, 타자와의 관계 혹은 거리에 대해 가볍고 담담하게 이야기한다. 중반부로 넘어가면, 냉혹하고 복잡한 이 거리에서 시인은 '스스로를 견딜 수 없다는 것만큼 전락한다'고 고백한다. 보다 내면적이고 격정적인 모습을 지닌 시에는 꺾이는 무릎을 감추기 위한 시인의 흥얼거림도 담겨 있다.시인은 피붙이의 그리움에 대해, 빗나간 화살과 함께 떠나버린 사랑에 대해, 미망처럼 맴도는 이별에 대해, 불확실한 운명과 이상에 대해 노래한다. 우울과 슬픔, 절망과 냉소, 삶을 꼬집는 짓궂은 유머가 담긴 시인의 노래는 단지 개인의 일기로 그치지 않고, 시대의 우울과 도시문화의 병리적인 현상을 보여준다.",173쪽,Topic #1,0.8513751264936137
슬픔,"슬픔은 원샷, 매일이 맑음",시각장애인 유튜버 원샷한솔의 유쾌한 반전 라이프,김한솔 저자(글),위즈덤하우스,2022년 09월 13일,"13,500원",10.0,https://contents.kyobobook.co.kr/sih/fit-in/200x0/pdt/9791168122727.jpg,한국에세이 시각 장애 행복 시각 장애인 주민 등록증 자폐 스펙트럼 장애,시/에세이,"“우리는 분명 좋은 날을 향해 나아가고 있어”『만약은 없다』 『제법 안온한 날들』 저자 남궁인 강력 추천!실명의 아픔을 딛고 빛을 찾기까지, 김한솔의 삶을 바꾼 모든 순간들. 거침없고 유쾌한 삶의 태도로 42만 구독자에게 사랑받는 유튜버, 원샷한솔의 첫 번째 에세이가 전격 출간됐다. 우울하고, 무기력하고, 도움을 필요로 하거나 억지 감동을 자아내는 장애인의 모습만 조명되는 미디어에 맞서, 이제껏 그는 자기만의 방식대로 진짜 장애인의 삶을 생생하게 공개해왔다. 그리고 그 일상은 그 누구의 삶보다 다채롭고 진취적이었다. 많은 사람이 그에게 물었다. 그렇게 힘든 시간을 겪고 어떻게 지금처럼 밝게 살 수 있느냐고. 또 많은 사람이 그에게 고마워했다. 죽을 만큼 힘들었는데 당신을 보며 힘을 얻었다고. 수없이 받은 질문과 응원에 힘입어 그는 영상에서 다 하지 못한 이야기를 책으로 담아냈다. 타고난 솔직함으로 생생히 풀어놓은 그의 이야기엔 예상할 수 없는 인생의 파도를 불안보다 기대감으로 맞이하게 되기까지 그가 겪은 성장통이 빼곡히 담겨 있다.‘왜 난 행복할 수 없을까’ 고민하던 소년은 이제 ‘또 어떤 일이 닥치든 행복할 수 있다’ 자신하는 어른이 되었다. 그에 이르기까지 자신이 발견한 인생의 빛을 더 많은 사람과 나누고, 파도 많은 인생에 꼭 필요한 확신을 이 책을 통해 전하고 싶었다고 그는 말한다. ‘삶에서 어떤 장애물을 만나든, 당신은 당신만의 방식으로 더 행복한 내일로 나아갈 수 있다’고.",244쪽,Topic #1,0.8264099820669317
슬픔,슬픔이 주는 기쁨(리커버),2판,"알랭 드 보통 저자(글), 정영목 번역",청미래,2022년 12월 20일,"9,900원",9.9,https://contents.kyobobook.co.kr/sih/fit-in/200x0/pdt/9788986836851.jpg,,시/에세이,"새로운 표지로 만나는 일상에 대한 알랭 드 보통의 시선. “일상의 철학가” 알랭 드 보통의 산문들을 모은 에세이집인 이 책에는 그의 일상의 면모를 살펴볼 수 있는 글들이 담겨 있다. 이 책에는 독자들에게 익숙한 단행본의 일부도 있고, 그의 단편과 개인적인 삶을 엿볼 수 있는 내용도 담겨 있다. 이 책은 그를 발견할 수 있는 기회를 제공하며, 그에게 글쓰기의 단편이 되는 것들, 그리고 그 생각의 바탕이 되어온 것들을 그의 시선에서 바라볼 수 있게 한다. 이 책에서 그는 일상생활의 이런저런 근심들-슬픔을 표현하거나 로맨틱해지는 법-을 살펴보고, 역사상의 위대한 작가들, 화가들 그리고 사상가들의 작품들을 통해서 그의 독자들에게 삶을 통찰하고 컨트롤할 수 있는 지혜를 주려고 노력한다. 이 책에서 알랭 드 보통은 그동안에 쓴 대부분의 글들을 다시 매만져서 글 한 편 한 편이 독립된 완결성을 가질 수 있도록 했다. 그렇다 하더라도 만일 드 보통의 저작을 모두 읽은 독자라면 강렬한 기시감을 느낄 수밖에 없을 것이다. 그러나 기시감을 느끼면서 그가 왜 이 글들을 따로 손질을 해서 이 책에 한 장으로 묶었는지를 생각해보는 것, 즉 드 보통의 글이 그린 궤적과 현재 이른 자리를 짚어보는 것이야말로 이 책을 읽는 각별한 재미라고 할 수 있겠다.",136쪽,Topic #1,0.8084627370759163
슬픔,개는 온몸으로 웃는다,시 읽는 수의사의 더불어 사는 이야기,이정섭 저자(글),문학의숲,2023년 10월 12일,"15,120원",0.0,https://contents.kyobobook.co.kr/sih/fit-in/200x0/pdt/9791187904410.jpg,반려 동물 해부학 차트 고순 고라니 교감,시/에세이,"‘시를 좋아하는 수의사’가 들려주는 관계의 미학, 만남과 이별의 인문학. 신학을 전공한 수의사라는 독특한 이력만큼이나 남다른 동물 사랑을 보여주는 저자 이정섭이 시 읽는 수의사와 더불어 사는 이야기인 《개는 온몸으로 웃는다》를 세상에 내놓는다. 동물병원 차트 안에 담긴 동물들의 이름 하나하나가 저마다 창의적이고 특별하고 사랑스럽기에 슬픔과 기쁨, 혹은 불행과 행복을 그리는 이야기가 되어 한 권의 책으로 엮였다. 이 책은 두 번째 반려동물 키우는 이들이 어떻게 과거의 아픔을 극복하고 새로운 사랑을 시작할 수 있는지 함께 고민하게 한다. 결국 이 책은 온몸으로 웃는 동물들의 이야기이다. 사실 개들은 사람처럼 웃을 수 없다. 해부학적으로 얼굴 피부에 닿는 근육이 없기 때문이다. 그러나 사람과 동물의 교감을 오롯이 기록한 이 책의 이야기를 따라가다 보면 개가 온몸으로 웃는 것을 느낄 수 있을 것이다.",316쪽,Topic #1,0.8022035384979547
슬픔,어쩌면 별들이 너의 슬픔을 가져갈지도 몰라+클래식,김용택의 필사해서 간직하고 싶은 한국 대표 시 (감성치유 라이팅북),김용택 저자(글),위즈덤하우스,2017년 06월 29일,"12,420원",9.81,https://contents.kyobobook.co.kr/sih/fit-in/200x0/pdt/9788959135301.jpg,임화 한국현대시 오장환 필사 김영랑 한국 대표 시인,시/에세이,"언제 읽어도 감동적인 한국 대표 작가들의 명시를 읽고 쓰는 즐거움!. tvN 드라마 ‘도깨비’에 등장하며 시를 필사하는 즐거움을 알려준 《어쩌면 별들이 너의 슬픔을 가져갈지도 몰라》의 진한 감동을 이어가는 『어쩌면 별들이 너의 슬픔을 가져갈지도 몰라+ 클래식』. 클래식이라는 이름답게 윤동주, 김소월, 김영랑, 백석 등 한국인이 사랑하는 시인의 작품과 임화, 오장환, 노자영 등 김용택 시인이 아끼는 작가의 숨겨진 보석 같은 시까지 한국의 대표 명시 113편을 만나볼 수 있다.감성적인 디자인과 다채로운 콘텐츠가 눈길을 사로잡는 이 책에 담긴 평생 간직하고 싶은 시 113편은 손으로 필사하며 마음에 새기는 즐거움을, 시의 아름다움을 재발견하는 기쁨을 선사한다. 시대를 막론하고 오랫동안 사랑받는 시에는 변치 않는 아름다움이 있다. 오랜 세월 많은 이들에게 잔잔한 위로를 건네던 시를 담은 이 책을 통해 클래식 작품의 힘을 느끼고 감동과 여운을 느낄 수 있다.",296쪽,Topic #1,0.7962258880079383
