category,book_name,book_explain,author,publisher,publish_date,price,rate,book_imgurl,keywords,book_type,info_text,num_of_page,topic,probability
불안,불안,40만부 판매 기념 교보문고 단독 리커버,"알랭 드 보통 저자(글), 정영목 번역",은행나무,2012년 01월 04일,"13,500원",9.54,https://contents.kyobobook.co.kr/sih/fit-in/200x0/pdt/9788956605593.jpg,김제동 불안감 천문학자 철학서 방송인 배우,시/에세이,"알랭 드 보통 《불안》 40만부 판매 기념 특별 리커버판 출간!배우 장동건, 방송인 김제동, 천문학자 심재경 추천20여년 간 한국에서 꾸준히 사랑받아온 스테디셀러 마크 로스코 작품 〈No. 3/ No. 13, 1949〉 표지로 새롭게 만난다!. 우리나라 독자들이 가장 사랑하는 작가 중 한 명인 알랭 드 보통의 인문철학 에세이 《불안》이 국내 판매 40만부를 기념해 교보문고 특별 리커버판으로 새롭게 선보인다. 2005년 한국어 초판 출간 이래 20여년 가까이 꾸준히 사랑받아온 이 책은 현대인의 욕망과 불안 심리에 대한 첨예하고 날카로운 통찰력과 해법을 담아 배우 장동건, 방송인 김제동, 천문학자 심재경 등 유명인과 지식인들이 추천하는 필독서로 잘 알려져 왔다. 특별히 이번 리커버판에는 러시아 출신의 미국 화가 마크 로스코(Mark Rothko)의 추상화 작품 〈No. 3 / No. 13, 1949〉를 표지에 사용해 현대인의 미묘하고 불안한 심리를 전면에 드러내는 데 포인트를 두었다. 강렬한 색상이 불러일으키는 다양한 감정들을 통해 독자들이 저마다의 방식으로 ‘불안’이라는 인문학적 테마를 자유롭게 해석하고 사유하도록 이끌었다. 또한 작가의 친필 메시지를 인쇄본으로 함께 수록해 특별판으로서 소장 가치를 높였다. 이번 특별판은 교보문고 온·오프라인에서만 한정 기간동안 만날 수 있다.",368쪽,Topic #2,0.462467091174303
불안,인간 실격,(세계문학전집  103),"다자이 오사무 저자(글), 김춘미 번역",민음사,2012년 04월 10일,"8,100원",9.42,https://contents.kyobobook.co.kr/sih/fit-in/200x0/pdt/9788937461033.jpg,세계고전문학 일본소설 직소 데카당스 작가 연보 자전적소설,소설,"청춘의 한 시기를 통과 의례처럼 거쳐야 하는 일본 데카당스 문학의 대표작. 오직 순수함만을 갈망하던 여린 심성의 한 젊은이가 인간들의 위선과 잔인함에 의해 파멸되어 가는 과정을 그린 소설.1948년 서른아홉의 나이로 요절하여 일본 사회에 큰 파장을 남긴 일본 현대 문학의 대표적 작가 다자이 오사무의 작품이다. 어떻게든 사회에 융화되고자 애쓰고, 순수한 것, 더럽혀지지 않은 것에 꿈을 의탁하고, 인간에 대한 구애를 시도하던 주인공이 결국 모든 것에 배반당하고 인간 실격자가 되어가는 패배의 기록을 통해 현대 사회를 예리한 고발하고 있다. 함께 실린 '직소'에서는 유다의 인간적인 측면을 저자만의 독특한 시선으로 새로이 조명하고 있다.",192쪽,Topic #3,0.805443790010882
불안,나는 생각이 너무 많아(춘배 에디션),No book_explain exists,"크리스텔 프티콜랭 저자(글), 이세진 번역",부키,2023년 09월 20일,"16,200원",9.77,https://contents.kyobobook.co.kr/sih/fit-in/200x0/pdt/9788960519978.jpg,심리 매사 보통 사람 임상 경험 과잉 경학,인문,"모든 일에 의심 많고 의문 넘치고 예민한 사람들을 위한 심리 처방. “생각이 너무 많아서 병”이라고 말하는 사람들이 있다. 그들은 마음이 숨 돌릴 틈도 허락하지 않는다고, 밤에도 그 많은 생각들을 내려놓지 못해 잠을 뒤척이기 일쑤라고 한다. 끊이지 않는 의심, 의문, 매사에 날카롭게 반응하는 의식, 사소한 것 하나 가벼이 넘기지 못하는 감각이 지긋지긋하다. “잠시라도 생각을 멈출 순 없을까?”프랑스 유명 심리 치료사이자 베스트셀러 《당신은 사람 보는 눈이 필요하군요》의 저자 크리스텔 프티콜랭에 따르면 이들은 그저 남달리 예민한 지각과 명석한 두뇌를 가지고 있을 뿐이다. 그는 30여 년간의 임상 경험을 바탕으로, ‘생각이 많아 고민인 사람들’에게 즐겁고도 명쾌한 해결책을 제시한다. 신경학적이고 객관적인 근거를 기반으로 그들이 ‘왜’ 생각이 많을 수밖에 없는지, 보통 사람들과 ‘무엇’이 다른지, 그 비상한 머리를 가지고 ‘어떻게’ 잘 살아갈 수 있는지에 대해 말해 준다. “정신적 과잉 활동인이 스스로를 이해하고, 자기 모습 그대로를 받아들이고, 들끓는 생각을 품고도 잘 살아갈 수 있도록 돕고 싶다”는 저자의 바람대로, 이 책을 펼친 (‘설마 이 책 한 권으로?’라며 의심하고 있을) 당신이 바로 그 주인공이 될 것이다.",316쪽,Topic #1,0.8155140934097102
불안,오늘도 망설이다 하루가 다 갔다,No book_explain exists,"샐리 M. 윈스턴 저자(글), 마틴 N. 세이프 저자(글), 박이봄 번역",심심,2023년 06월 23일,"16,920원",9.85,https://contents.kyobobook.co.kr/sih/fit-in/200x0/pdt/9791156754183.jpg,뇌과학 불안 망설임 심리학 이론 만성 예기,인문,"“어디로 가는지 그 목적지를 미리 볼 필요는 없다.  그저 자신 앞에 놓인 1미터만을 봐야 할 뿐이다“인생의 모든 모퉁이를 돌 때마다 최악의 시나리오를 상상하는 당신을 위해  40여 년간 수천 명을 치료한 불안장애 전문가가 안내하는 직면과 회복의 심리학. 어떤 행사나 일이 있기 며칠이나 몇 주일 전부터 무언가 굉장히 안 좋은 일이 생길 것이라는 두려움을 자주 경험하는가? 그래서 행사에 가기로 쉽게 마음먹지 못하고 계속 미적거리거나, 빠져나갈 방법이나 변명을 준비하는가? 미래의 일들을 앞두고 즐겁고 신이 나는 대신 이번에도 불안한 감정을 경험할 것이라고 예상하고 체념하는가? 소심하고 겁이 많아 원하는 경험을 할 기회를 자꾸 놓치는 자신이 못 견디게 싫은가? 늘 안전한 대안을 마련하려 애쓰고 자신감이 없는 자신을 비판하는가? 이러지도 저러지도 못하고 망설이다 인생의 어떤 지점에서 더 앞으로 나아가지 못하고 있는가?   《오늘도 망설이다 하루가 다 갔다》는 이처럼 미래에 대한 걱정과 좋지 못한 일들이 일어날지도 모른다는 두려움 때문에 앞으로 나아가지 못하는 사람들을 위한 심리 안내서다. 40여 년간 수천 명을 치료한 불안장애 전문가인 저자는 뇌 과학과 심리학 이론을 토대로 불안과 걱정, 회피의 사이클에 빠지는 원인과 여러 유형을 분석하고 만성적인 망설임과 예기불안에서 빠져나올 수 있는 방법을 체계적으로 알려준다.",340쪽,Topic #1,0.6173458237192707
불안,상처 받지 않는 영혼,내면의 자유를 위한 놓아 보내기 연습,"마이클 A. 싱어 저자(글), 이균형 번역, 성해영 감수",라이팅하우스,2014년 05월 08일,"13,500원",9.62,https://contents.kyobobook.co.kr/sih/fit-in/200x0/pdt/9788998075088.jpg,심리치료 도덕경 불안 노자 상처 프로이트,인문,"왜 모든 것은 관리하면서 영혼만은 방치하는가?. 내면의 자유를 위한 놓아 보내기 연습 『상처 받지 않는 영혼』. 자신의 행복을 외부의 조건에서 찾으려 했던 사람들의 시선을 각자의 내면으로 돌리게 한 이 책은 서양의 심리학을 통해서 마음을 해부하고, 동서양의 영적 전통과 지혜를 통해 마음의 상처를 치유하는 방법을 소개한다. 불안에 시달리는 현대인의 지친 마음을 위한 ‘영혼 사용 설명서’로서 평가받고 있다.저자는 마음의 일상적 지껄임에 대한 관찰로부터 시작해서 깊은 영적 경지로 향하는 내면 여행을 안내한다. 프로이트의 이드와 에고, 슈퍼에고로부터 시작된 이야기는 인도철학, 노자의 도덕경, 부처와 예수 등의 도움을 받아 흥미진진하게 펼쳐진다. 이처럼 삶을 놓고 벌이는 마음의 온갖 소동들을 적절한 비유를 통해 생생하게 보여주며, 그 곤경에서 빠져나오기 위한 방법을 일상의 언어로 친절하게 설명한다.",301쪽,Topic #2,0.8241140851963263
불안,내가 틀릴 수도 있습니다,숲속의 현자가 전하는 마지막 인생 수업,"비욘 나티코 린데블라드 저자(글), 박미경 번역, 토마스 산체스 그림/만화",다산초당,2022년 04월 18일,"14,400원",9.58,https://contents.kyobobook.co.kr/sih/fit-in/200x0/pdt/9791130689890.jpg,도종환 달라이 수출 승려 라마 목줄,인문,"때 이른 성공을 버리고 떠난 17년간의 숲속 수행, 그리고 삶과 죽음의 경계에서 깨달은 것들“불안의 폭풍우 속에 있는 당신을 구원할 책.”. 2022년 1월, 한 사람이 세상을 떠났다. ‘망설임도, 두려움도 없이 떠납니다’라는 한마디를 남기고. 거대한 애도의 물결이 스웨덴을 휩쓸었다. 비욘 나티코 린데블라드. 수많은 스웨덴인들을 불안에서 끌어내어 평화와 고요로 이끌었던 그는 2018년 루게릭병에 진단받은 후에도 유쾌하고 따뜻한 지혜를 전했다. 『내가 틀릴 수도 있습니다』는 20대에 눈부신 사회적 성공을 거뒀지만 모든 것을 버리고 숲속으로 17년간 수행을 떠났던 저자의 여정과 깨달음, 그리고 마지막을 담은 책으로 수많은 독자들에게 삶의 의미와 희망을 되찾게 했다.  ★ 스웨덴 베스트셀러 1위★★ 출간 즉시 25개국 수출★★ 스웨덴 30만 부 판매★★ 달라이라마, 도종환 추천사★",312쪽,Topic #2,0.7858758732340788
불안,필링 그레이트,우울과 불안을 치료하는 새롭고 혁명적인 방법,"데이비드 번즈 저자(글), 박혜원 번역",문예출판사,2023년 06월 12일,"28,800원",9.44,https://contents.kyobobook.co.kr/sih/fit-in/200x0/pdt/9788931023183.jpg,심리 치료 멜라니 사라 크리스천 치료 사례 기분,자기계발,"“《필링 굿》보다 10배는 더 놀라운 책!”40년의 연구와 40,000시간의 치료 노하우전 세계 500만 부 이상 판매된 《필링 굿》의 저자데이비드 D. 번즈의 최신작!★★우울증 부문 아마존 1위★★★★최고의 인지행동치료 가이드북★★. 데이비드 D. 번즈의 전작 《필링 굿》은 미국 정신 건강 전문가들이 우울증 환자를 위한 최고의 책으로 꼽는 등 우울과 불안을 극복하기 위한 최고의 치료법으로 인정받았다. 한 연구에서는 《필링 굿》을 읽은 우울증 환자 65퍼센트가 4주 만에 다른 치료 없이 회복되거나 상당한 호전을 보인다고 보고했다. 3년간의 후속 연구는 이들이 이후에도 여타의 심리 치료나 약물 복용 없이 회복된 상태를 유지했다고 밝혔다.하지만 데이비드 D. 번즈는 만족하지 않았다. 《필링 굿》을 읽고도 회복되지 않은 35퍼센트의 환자들은 어떻게 할 것인지 고민했기 때문이다. 《필링 그레이트》는 이 고민의 결과물이다. 《필링 굿》과 마찬가지로 자세하고 친절한 설명으로 독자를 초대하고, 독자 스스로 증상을 호전할 수 있도록 적극적인 참여를 독려한다. 책의 두께에 겁먹을 필요는 없다. 자신에게 딱 맞는 기법이 설명된 부분을 찾아 힘들 때마다 그 부분을 반복해서 읽으며 좋은 기분을 유지하면 된다.더불어 《필링 그레이트》는 정신 건강 전문가들을 위해 쓴 책이기도 하다. 지금까지 5만 명이 넘는 의사와 치료사가 번즈 박사의 훈련 프로그램에 참석해 인지행동치료 기법을 학습했다는 데서 알 수 있듯, 번즈 박사는 정신 건강 전문가를 양성하는 일에도 관심이 많다. 그가 우울과 불안으로 고통받는 환자뿐 아니라 더 나은 우울과 불안 치료법을 고민하는 정신 건강 전문가에게도 도움을 주고자 하는 마음으로 이 책을 썼다고 밝힌 것은 이 때문이다. 일주일 중 닷새는 행복하고 이틀은 형편없는 평범한 일상을 갈망하는 모두에게 이 책에 따뜻하고도 실용적인 위로로 다가가길 바란다.",712쪽,Topic #1,0.8530318352191713
불안,나는 왜 사랑할수록 불안해질까,No book_explain exists,"제시카 바움 저자(글), 최다인 번역",부키,2023년 04월 18일,"16,200원",9.91,https://contents.kyobobook.co.kr/sih/fit-in/200x0/pdt/9788960519718.jpg,상처 양육자 치유 연인 담자 이유정,인문,"연애만 하면 ‘을’이 되는 이들에게애착 유형 심리학이 건네는 마음 처방《혼자 잘해주고 상처받지 마라》 유은정 정신과 의사 연애·심리 상담 유튜버 ‘앤드쌤’ 이유정 강력 추천. ‘연애의 과학’이라고 할 성인의 낭만적 애착 이론 따르면, 우리가 영유아기에 관계 맺는 방식에서 생겨난 애착 유형은 성인이 되어서도 타인과의 관계에 영향을 미친다. 그중에서도 관심과 애정을 갈구하는 불안형과 이를 거부하는 회피형은 겉으로는 정반대처럼 보이지만, 실은 둘 다 상처 입은 영혼들이다. 그리고 그 상처는 지금 눈앞에 있는 연인 때문이 아니라, 어린 시절 양육자와의 관계에서부터 생겨난 것일 수 있다. 현재의 인간관계, 연애 고민에 대한 답을 찾기 위해 애착 패턴과 그 원인이 되는 과거의 상처를 알아야 하는 이유가 바로 여기에 있다. “고통스럽게 끝나는 연애를 반복해서 겪었다면 그건 당신이 또 잘못된 사람을 골랐다는 뜻이 아닙니다. (…) 자신이 어떤 사람이고, 무엇이 필요한지, 어디를 치유해야 하는지 더 알아봐야 한다는 뜻이죠. (…) 그렇게 생각하면 연인과의 다툼이나 가슴 아픈 이별은 ‘치유를 위해 일시 정지’라고 적힌 표지판이나 마찬가지입니다.”이 책의 저자는 미국에서 수천 명의 관계 고민에 답을 찾아 준 심리 치료사이자 커플 전문 상담가다. 내담자들의 사례뿐 아니라, 불안형인 본인이 불행한 연애와 이혼을 겪으며 몸소 깨달은 것을 바탕으로 책을 썼다. 문제의 원인부터, 상처를 알아차리고 치유하는 연습, 갈등에 대처하고 건강한 관계를 맺는 법까지, 지금 연애로 불행한 이들에게 꼭 필요한 실용적 처방을 담았다. 남녀 심리, 연애 조언을 설파하는 온갖 소셜미디어 콘텐츠가 넘쳐나는 시대에 이곳저곳 떠돌며 근본적인 해결책은 얻지 못하고 불안한 마음만 가중되는 이들에게, 이 책이 먼저 자기 내면을 돌보고 그 안에서 길을 찾도록 돕는 든든한 러닝메이트가 되어 줄 것이다.",368쪽,Topic #2,0.8402440754867048
불안,마음이 아니라 뇌가 불안한 겁니다,최신 과학이 밝힌 뇌 유형별 회복 탄력의 비밀,"다니엘 G. 에이멘 저자(글), 이은경 번역",위즈덤하우스,2023년 07월 26일,"16,920원",9.78,https://contents.kyobobook.co.kr/sih/fit-in/200x0/pdt/9791168126749.jpg,치료 사례 복합 유형 즉흥 불행 기본 유형 신중,인문,"“나는 왜 나쁜 생각에 더 자주 빠져들까?”우울한 뇌를 행복한 뇌로 바꾸는 7단계 처방. 미국에서 가장 인기 있는 정신과 의사로 칭송받는 다니엘 G. 에이멘이 오직 행복을 위한 두뇌 건강 안내서를 출간했다. 30여 년간 155개국 225,000명 이상의 뇌 스캔을 연구한 에이멘 박사는 ‘쉽게 행복해지는 뇌’와 ‘불행에 취약한 뇌’가 따로 있음을 발견했다. 이 책은 인간의 두뇌를 다섯 가지 기본 유형(균형 잡힌 뇌, 즉흥적인 뇌, 집요한 뇌, 예민한 뇌, 신중한 뇌)과 열한 가지 복합 유형으로 나누고, 각각의 유형별 취약점과 특질, 뇌 건강을 극대화하는 방법을 생물학적ㆍ심리학적 측면에서 세세하게 안내한다. 흔히 지금보다 더 많은 것을 성취하면 행복해질 거라 믿지만, 에이멘 박사는 세상이 부러워하는 부와 명예를 거머쥐고도 불행한 사람을 수도 없이 만났다. 그리고 그들을 치료하고 변화를 지켜보며 행복은 상황이 아닌 건강한 뇌에서 비롯됨을 확신했다. 수많은 치료 사례가 증명한 그만의 탁월한 전략을 따라, 날마다 점점 더 행복해지는 뇌를 만들자. 매일 10분만 투자하면 당신의 나이, 성장 배경, 교육, 유전자, 현재 처해진 상황 등 모든 조건과 관계없이 단 30일 만에 30% 이상 더 행복해질 수 있다.",416쪽,Topic #3,0.8178766433606517
불안,불안할 땐 뇌과학,불안하고 걱정하고 예민한 나를 위한 최적의 뇌과학 처방전,"캐서린 피트먼 저자(글), 엘리자베스 칼 저자(글), 이종인 번역",현대지성,2023년 08월 21일,"16,200원",9.62,https://contents.kyobobook.co.kr/sih/fit-in/200x0/pdt/9791139715989.jpg,공황 발작 증세 임상 완화 불안증 걱정 근심,인문,"“왜 불안한 마음은 빈틈없는 논리와 설득만으로는 해결되지 않을까?”35년간의 불안장애 및 뇌 손상 환자 치료 경험에 기초해, 실행하는 즉시 불안증세를 완화하는 구체적이고 검증된 해결책까지 담았다!. ★★★아마존 리뷰 7,300개, 신경심리학 분야 1위★ 35년간의 불안장애 치료 사례에 기반한 실용적인 지식★ 공저자의 불안장애 경험을 통한 살아 있는 인사이트 제공 ★ 80개의 실사례를 통한 쉬운 이해와 적용 ★ 가벼운 걱정 근심에서부터 불안증, 강박 및 충동 증세, 공황장애,    외상후스트레스장애(PTSD)까지…    실제로 임상에서 사용해 효과를 본 지식과 기법 총출동“누구나 다 불안해”, “좋은 생각 많이 하면 돼”, “의지로 극복할 수 있어.”잘 모르는 사람들이 안타까운 마음에 흔히 하는 말이다. 하지만 불안은 ‘의지’의 문제가 아니라 (뇌를 통해 느끼는) 안전감의 문제다. 저자는 이 책에서 불안을 있는 그대로 보는 법을 알려주고, 실제 상황에서 당황하지 않고 불안에 대처하는 방법을 검증된 지식에 기반하여 소개한다. 이 책을 읽으면 불안이 어디에서, 왜, 어떻게 발생하는지 분명하게 알게 되어 불안을 잘 관리할 수 있다. 80개의 공감 가는 사례와, 일상에서 적용 포인트를 찾게 해주는 훈련법 소개, 임상에서 검증한 불안 완화 방법을 통해 앞부분에서 설명한 이론을 곧바로 적용할 수 있다. 정도의 차이를 떠나 불안으로 고통받거나, 불안장애나 공황발작으로 아픔을 겪고 있다면 이 책이 큰 도움이 될 것이다.“불안이 일어나는 메커니즘을 알려주고  실용적인 해결책까지 주는 책!”○ 하지현_ 정신건강의학과 전문의, 『고민이 고민입니다』 저자",304쪽,Topic #1,0.8670534528856486
