category,book_name,book_explain,author,publisher,publish_date,price,rate,book_imgurl,keywords,book_type,info_text,num_of_page,topic,probability
슬픔,구의 증명,(은행나무 시리즈 N  7),최진영 저자(글),은행나무,2023년 4월 26일,"10,800원",9.58,https://contents.kyobobook.co.kr/sih/fit-in/200x0/pdt/9791167372864.jpg,비극 은행나무 지독 한국 문학 관형사 제의,소설,만약 네가 먼저 죽는다면나는 너를 먹을 거야.그래야 너 없이도 죽지 않고 살 수 있어.. 사랑 후 남겨진 것들에 관한 숭고할 만큼 아름다운 이야기최진영 소설 《구의 증명》은 사랑하는 연인의 갑작스러운 죽음 이후 겪게 되는 상실과 애도의 과정을 통해 삶의 의미 혹은 죽음의 의미를 되묻는 소설이다. 이 작품에서 최진영은 퇴색하지 않는 사랑의 가치를 전면에 내세우고 아름다운 문장과 감성적이며 애절한 감수성을 통해 젊고 아름다운 남녀의 열정적인 사랑과 냉정한 죽음에 대해 세련된 감성과 탁월한 문체로 담아내고 있다.,192쪽,Topic #3,0.776316905965912
슬픔,밝은 밤,최은영 첫 장편소설,최은영 저자(글),문학동네,2021년 7월 27일,"13,950원",9.84,https://contents.kyobobook.co.kr/sih/fit-in/200x0/pdt/9788954681179.jpg,한국소설 사랑 위로 할머니 지연 증조할머니,소설,"“슬픔을 위로하고 감싸주는 더 큰 슬픔의 힘” _오정희(소설가)백 년의 시간을 감싸안으며 이어지는 사랑과 숨의 기록 『쇼코의 미소』 『내게 무해한 사람』 최은영 첫 장편소설. 공감을 불러일으키는 이야기와 서정적이며 사려 깊은 문장, 그리고 그 안에 자리한 뜨거운 문제의식으로 등단 이후 줄곧 폭넓은 독자의 지지와 문학적 조명을 두루 받고 있는 작가 최은영의 첫 장편소설. ‘문화계 프로가 뽑은 차세대 주목할 작가’(동아일보) ‘2016, 2018 소설가들이 뽑은 올해의 소설’(교보문고 주관) ‘독자들이 뽑은 한국문학의 미래가 될 젊은 작가’(예스24) 등 차세대 한국소설을 이끌 작가를 논할 때면 분야를 막론하고 많은 사람들의 머릿속에 가장 선명히 떠오르며 활발한 작품활동을 이어가던 최은영 작가는 2019년, 예정돼 있던 소설 작업을 중단한 채 한차례 숨을 고르며 멈춰 선다. 의욕적으로 소설 작업에 매진하던 작가가 가져야 했던 그 공백은 “다시 쓰는 사람의 세계로 초대받”(‘작가의 말’에서)기까지 보낸 시간이자 소설 속 인물들이 찾아오기를 기다리는 시간이기도 했다. 『밝은 밤』은 그런 작가가 2020년 봄부터 겨울까지 꼬박 일 년 동안 계간 『문학동네』에 연재한 작품을 공들여 다듬은 끝에 선보이는 첫 장편소설로, 「쇼코의 미소」 「한지와 영주」 「모래로 지은 집」 등 긴 호흡으로 이야기를 이끌어가는 중편소설에서 특히 강점을 보여온 작가의 특장이 한껏 발휘된 작품이다. 첫 소설집 『쇼코의 미소』가 출간된 2016년의 한 인터뷰에서 장편 계획을 묻는 질문에 작가는 “엄마나 할머니, 아주 옛날에 이 땅에 살았던 여성들의 이야기를 써보고 싶다는 바람이 있어요”라고 말했던바, 『밝은 밤』은 작가가 오랫동안 마음속에 품어왔던 ‘증조모-할머니-엄마-나’로 이어지는 4대의 삶을 비추며 자연스럽게 백 년의 시간을 관통한다. 증조모에게서 시작되어 ‘나’에게로 이어지는 이야기와 ‘나’에게서 출발해 증조모로 향하며 쓰이는 이야기가 서로를 넘나들며 서서히 그 간격을 메워갈 때, 우리는 사람들의 입을 통해 이야기가 전해진다는 건 서로를 살리고 살아내는 숨이 연쇄되는 과정이기도 하다는 것을, 그리고 그것이 이야기 자체가 가진 본연의 힘이기도 하다는 것을 느끼게 될 것이다. 은은하며 강인한 존재감으로 서서히 주위를 밝게 감싸는 최은영의 소설이 지금 우리에게 도착했다.",344쪽,Topic #1,0.852379447833103
슬픔,나는 오래된 거리처럼 너를 사랑하고,진은영 시집 (문학과지성 시인선  572),진은영 저자(글),문학과지성사,2022년 8월 31일,"10,800원",9.63,https://contents.kyobobook.co.kr/sih/fit-in/200x0/pdt/9788932040448.jpg,한국시 신작 시집 신형철 현대시 시인 일상,시/에세이,"“한 사람을 조금 덜 외롭게 해보려고 애쓰던 시간들이 흘러갔다.”우리 삶 속에 상실과 슬픔을 끌어안는 사랑의 공통감각  십 년을 기다려온 단 하나의 온전한 고백누추한 현실에서 불현듯 아름다움을 발견하는시인 진은영 10년 만의 신작 시집. 2000년 『문학과사회』로 등단한 이후 시집 『일곱 개의 단어로 된 사전』(2003), 『우리는 매일매일』(2008), 『훔쳐가는 노래』(2012)를 차례로 선보이며, 감각적인 은유와 선명한 이미지로 낡고 익숙한 일상을 재배치하는 한편 동시대의 현실에 밀착한 문제의식을 철학적 사유와 시적 정치성으로 풀어내온 진은영 시인이 10년 만에 신작 시집 『나는 오래된 거리처럼 너를 사랑하고』(문학과지성사, 2022)를 펴냈다. 시(인)의 사회적 위치와 기능을 묻는 한 강연에서 “시인은 침묵함으로써 대화하는 사람”이라고 진은영은 말한 바 있다. 공동체에서 잘 드러나지 않는 목소리와 다양한 삶의 문제들에 귀를 기울여 그들의 삶을 문학적으로 가시화하는 일, 그 어렵고 힘든 일을 이번 시집에 묶인 42편의 강렬하고 감각적인 시들이 저마다 아름답게 해내고 있다. 결핍으로 가득 찬 과거와 불안하고 비탄스러운 현실 속의 우리는 진은영의 시와 함께 “손을 잡고 어둠을 헤엄치고 빛 속을”(「어울린다」) 걸어 미래로 나아간다. 고통의 쓴잔을 나눠 마시며 서로의 외로움을 달래는 사랑의 힘으로. “사랑과 저항은 하나이고 사랑과 치유도 하나라고 이 시집 전체가 작게 말하고 있을 뿐, 어떤 시도 직접적으로 크게 말하고 있진 않다. 진은영의 정련된 이미지들 뒤에는 얼마나 많은 사유와 감정이 들끓고 있는가. 더 중요한 것은 사유와 감정이 하나의 언어로 표현된다는 것이다. 아름다움(예술)은 인간을 ‘해결’하는 사랑의 작업이 되고, 그렇게 치유되면서 우리는 ‘해결되지 않는 분쟁’과 다시 맞설 힘을 얻게 된다. 아름다운 세상에 대한 꿈을 포기할 수 없게 만드는 아름다움, 진은영은 그런 것을 가졌다.” -신형철, 해설 「사랑과 하나인 것들: 저항, 치유, 예술」에서",140쪽,Topic #2,0.824727152919379
슬픔,어쩌면 별들이 너의 슬픔을 가져갈지도 몰라,김용택의 꼭 한번 필사하고 싶은 시 (감성치유 라이팅북),김용택 엮음,위즈덤하우스,2022년 11월 1일,"14,220원",9.48,https://contents.kyobobook.co.kr/sih/fit-in/200x0/pdt/9788959139309.jpg,한국시 이성복 김혜순 현대시 천양희 필사,시/에세이,"∞ 김용택 시인이 권하는 따라 쓰기 좋은 시 101‘섬진강 시인’이란 별칭으로 잘 알려진 시인 김용택. 2001년 사람들이 주목하지 않았던 문학 장르인 시를 엮어 《시가 내게로 왔다》를 소개하며 대중에게 시가 좀 더 친숙해지는 계기를 만들었다. 그런 그가 이번에는 여러 문인의 시를 직접 읽고 따라 써보며 ‘독자들도 꼭 한번은 따라 써보길 바라는 마음’으로 101편의 시를 엄선했다.이 책에는 김소월, 이육사, 윤동주, 백석 같이 교과서에서 접해 친근한 작가의 작품은 물론, 김혜순, 천양희, 이성복, 신경림 등 한 시대를 풍미한 문인의 시, 폴 엘뤼아르, 프리드리히 니체, 요한 괴테 등 외국 작가의 메시지까지 다양하게 수록하였고, 독자들이 사랑하는 김용택 시인의 시 10편도 함께 소개했다. 총 101편의 시가 전달하는 사랑과 기쁨, 일상과 자연, 용기와 희망의 언어는 독자가 단순히 시를 읽는 것에서 그치지 않고, 시 한 편 한 편을 따라 써봄으로써 그 가치가 더욱 빛난다.∞ 필사 대신, 손으로 읽고 마음으로 새기는 감성치유 라이팅북소설가 신경숙은 “필사를 하는 동안의 충만함은 내가 살면서 무슨 일을 할 것인가를 각인시켜 준 독특한 체험이었다.”고 했고, 시인 함민복은 “시는 마음의 길.”이라고 했다. 작가들이 예찬하는 필사와 시의 만남이 감성치유 라이팅북에서 이루어졌다.이제 소설이나 성경 필사 대신, 감성치유 라이팅북을 통해 아름다운 시를 따라 써보자. 책의 왼쪽 페이지에는 시의 원문을, 오른쪽 페이지에는 감성적인 디자인의 여백을 마련해 독자가 따라 쓰기 편하고 휴대 또한 간편하도록 단 한 권으로 만들었다.독자는 시인이 바라보는 미완의 세상을 글자 하나하나 따라 쓰면서 나만의 세계를 완성하는 특별한 경험을 할 수 있다. 단순히 글자를 옮겨 적는 행위가 아니라, 시를 눈으로 읽고 손으로 쓰고 마음으로 새기는 과정을 통해 공감의 문이 열리고 소통의 길이 생긴다. 그 과정에서 상처 받은 감성이 치유될 수도, 스스로를 위로하며 다독이는 시간을 가질 수도 있다. 단순한 필사에 생기를 불어넣은 책, 바로 감성치유 라이팅북이다.∞ 내면의 소리에 귀 기울이고 마음의 평화를 찾아주는 시간지나간 사람이 몹시도 생각나는 날, 1부 ‘잎이 필 때 사랑했네, 바람 불 때 사랑했네, 물들 때 사랑했네’를 따라 써보자. 이병률, 정끝별, 이문재, 자크 프레베르 등의 시인이 한없이 행복했다가도 그저 달콤하지만은 않은 사랑의 시간을 추억한다. 마음속 누군가를 떠올리며 사랑의 기쁨과 아픔을 되돌아보면 나 자신이 더 단단해질 것이다.일상과 내면의 소리에 귀 기울이고 싶은 날, 2부 ‘바람의 노래를 들을 것이다, 울고 왔다 울고 있을 인생과 웃고 왔다 울고 갔을 인생을’을 옮겨 적어보자. 안도현, 김사인, 기형도 등의 시인이 자연의 아름다움을, 한편으로는 생각처럼 흘러가지 않는 인생의 어려움을 관조한다. 작가의 섬세한 문장이 생의 복잡하고 미묘한 감정을 토닥이며 보듬어줄 것이다.때로 지치고 힘든 순간이 찾아오면 3부 ‘바람이 나를 가져가리라, 햇살이 나를 나누어 가리라, 봄비가 나를 데리고 가리라’를 써보자. 최승자, 김수영, 김소월 등의 시인이 희망과 용기를 북돋아 주는 메시지를 전하며 삶의 길을 터준다. 사는 동안 잠시 숨 돌리는 시간이 필요하다면, 4부 ‘발걸음을 멈추고 숨을 멈추고 눈을 감고’를 적어보자. 김용택 시인의 맑고 솔직한 시어가 우리의 숨겨진 서정을 일깨워주고 마음에 온기를 전한다.총 101편의 시를 따라 쓰며 시인이 만들어놓은 세상을 따라가다 보면, 시가 헤매는 우리 마음을 잡아줄지도 모른다. 어쩌면 밤하늘의 별들이 내 슬픔을 가져갈지도 모른다.. 이 책은 단순히 ‘필사’라는 글자를 옮겨 적는 행위를 경험하게 하는 것이 아닌, 시를 눈으로 읽고 손으로 쓰고 마음에 새기는 과정 속에서 상처받은 감성을 치유 받게 하는 감성치유 라이팅북이다. 독자들은 이 책을 통해 잠시나마 스스로를 위로하며 다독이는 시간을 갖게 될 것이다.",280쪽,Topic #1,0.8517124705052123
슬픔,눈부신 안부,백수린 장편소설,백수린 저자(글),문학동네,2023년 5월 24일,"14,400원",9.62,https://contents.kyobobook.co.kr/sih/fit-in/200x0/pdt/9788954699372.jpg,첫사랑 해미 이모 선자 파독 언니,소설,"문장에 담길 수 있는 아름다움의 극치눈부시게 서툴렀던 시절에 바치는 백수린 첫 장편소설. 발표하는 작품마다 흔들림 없는 기량을 보여주며 평단과 독자의 신뢰를 한몸에 받고 있는 소설가 백수린의 장편소설 『눈부신 안부』가 출간되었다. 2011년 데뷔한 이래 세 권의 소설집과 한 권의 중편소설, 짧은 소설들과 산문을 발표하는 동안 조급해하지 않고 장편의 그릇에 담고 싶은 이야기를 기다린 그가 등단 12년 만에 펴내는 첫 장편소설인 만큼 이 작품의 탄생이 더욱 반갑고 귀하다. 『눈부신 안부』는 2021년 봄부터 2022년 봄까지 계간 『문학동네』에 ‘이토록 아름다운’이라는 제목으로 절찬리에 연재되었다. 작가는 특유의 성실하고 꼼꼼한 소설쓰기로 연재와 개고에 임한 끝에 지극히 완성도 높고 아름다운 첫 장편을 자신의 이력에 추가하게 되었다.   백수린은 첫 소설집 『폴링 인 폴』에서 일찍이 “충실한 기본기”는 물론 “안정적인 보조와 감각으로 자기 세계를 부풀려가는 정통적인 스타일”(문학평론가 서영채)을 보여주었고, 두번째 소설집 『참담한 빛』을 통해 누군가 자신을 둘러싸고 있던 안전한 껍질이 “더 깨진다고 하더라도 세계를 샅샅이 알고 싶다고 마음먹”(소설가 김연수)게 되는 순간을 포착하며 더 넓은 세계로 나아가고자 하는 주제의식을 더욱 섬세하게 벼려냈다. 그리고 작가에게 2020 한국일보문학상을 안겨준 세번째 소설집 『여름의 빌라』로 “인생의 불가사의에 대해 가장 우아하게 말하는 법. 그런 걸 찾는다면 이 소설을 읽어야 한다”(시인 박연준)는 평을 받으며 삶의 불가해한 아름다움을 문장 위에서 구현하는 독보적인 감각을 드러내 보였다.  『눈부신 안부』는 백수린이 그간 이루어낸 이러한 성취가 집대성된 작품이다. 비극적 사건을 회피하려 했던 어린 시절의 기억으로 인해 스스로를 용서하지 못하던 한 인물이 어른이 된 후 한층 품 넓은 시야로 서툴렀던 자신을 받아들이는 과정을 좇는다. 차분하게 쌓여가는 서사 속에서 스스로의 힘으로 진정한 치유와 성장에 도달하려는 한 인간의 미더운 움직임이 백수린의 다정한 문장으로 그려진다. 읽어나가는 것만으로도 마음에 아름다운 결이 지고, 나를 둘러싼 세계가 확장되는 근사한 기분을 느낄 수 있는 이 작품은 지금까지의 백수린 소설세계의 결정판이라 할 수 있다.",316쪽,Topic #1,0.8597246877852752
슬픔,자기 앞의 생,에밀 아자르 장편소설 (문학동네 세계문학),"에밀 아자르 저자(글), 용경식 번역",문학동네,2013년 1월 24일,"11,700원",9.61,https://contents.kyobobook.co.kr/sih/fit-in/200x0/pdt/9788982816635.jpg,사랑 인생 성장소설 아줌마 사람 프랑스소설,소설,"전 세계에 파문을 던진 아자르의 충격!. 열네 살 소년 모모가 들려주는 신비롭고 경이로운 생의 비밀을 담은 에밀 아자르의 소설 『자기 앞의 생』. 1980년 의문의 권총 자살로 생을 마감한 프랑스 작가 로맹 가리가 에밀 아자르라는 필명으로 출간한 두 번째 소설이다. 어린 소년 모모의 슬프지만 아름다운 성장 이야기를 담고 있다. 악동 같지만 순수한 어린 주인공 모모를 통해 이 세상 누구도 눈길을 주지 않는 밑바닥 삶을 살아가는 불행한 사람들의 슬픔과 고독과 사랑을 그리고 있다.저자는 자기의 실제 나이보다 많은 나이를 살고 있는 열네 살 모모의 눈을 통해 이해하지 못할 세상을 바라본다. 모모의 눈에 비친 세상은 결코 꿈같이 아름다운 세상이 아니다. 인종적으로 차별받는 아랍인, 아프리카인, 아우슈비츠에 끌려갔다 구사일생으로 살아 돌아온 유태인, 살아가기 위해 웃음을 팔아야 하는 창녀들, 친구도 가족도 없는 노인, 한 몸에 여성과 남성의 성징을 모두 갖고 있는 성 전환자, 가난한 사람들, 병든 사람들…… 모모가 사랑하는 사람들은 모두 이렇게 세상의 중심으로부터 이탈한, 사회로부터 소외되고, 그들 자신도 스스로를 소외시켜 밑바닥 인생을 살아가는 사람들이다. 버림받은 사람들, 소진되어가는 삶에 괴로워하고 슬퍼하는 사람들이지만 그들은 누구보다도 사랑에 가득 차서 살아간다. 그를 맡아 키워주는 창녀 출신의 유태인 로자 아줌마를 비롯해 이 소외된 사람들은 모두 소년을 일깨우는 스승들이다. 이들을 통해 모모는 슬픔과 절망을 딛고 살아가는 동시에, 삶을 껴안고 그 안의 상처까지 보듬을 수 있는 법을 배운다.",363쪽,Topic #2,0.8025114792796588
슬픔,슬픔을 공부하는 슬픔,신형철 산문,신형철 저자(글),한겨레출판사,2018년 9월 22일,"14,400원",9.63,https://contents.kyobobook.co.kr/sih/fit-in/200x0/pdt/9791160401967.jpg,김숨 문학평론 배수아 권여선 은희경 박형준,시/에세이,"더욱 더 깊어진 평론가 신형철의 생각과 문장을 만나다!. 문학평론가 신형철의 두 번째 산문집 『슬픔을 공부하는 슬픔』. 《한겨레21》에 연재되었던 ‘신형철의 문학사용법’을 비롯하여 각종 일간지와 문예지 등에 연재했던 글과 미완성 원고를 모아 엮은 책이다. 4년 만에 펴낸 이번 산문집에서 저자가 평론가로서 작품과 세상 사이에 다리를 놓고자 했던 성실한 삶과 철학을 보다 면밀히 들여다볼 수 있다.슬픔을 공부한 글을 묶은 1부에서는 헤로도토스 《역사》에서부터 헤밍웨이를 지나 박형준과 김경후의 시에 이르기까지, 작품 속의 슬픔, 허무함, 덧없음, 상실 등을 꼼꼼히 읽어간다. 소설을 중점적으로 다룬 2부에서는 카뮈, 보르헤스, 제발트부터 권여선, 임철우, 박완서, 배수아, 김사과, 은희경, 김숨까지 국내외 작품을 읽으며 문학을 통해 더 좋은 사람이 될 수 있는지를 묻는다. 참여적 주제의 글을 담은 3부에서는 대통령 탄핵부터, 태극기 부대, 성소수자 문제와 미소지니, 트럼프, 국정 농단, 멀리는 박근혜 대통령의 당선과 4대강사업, 용산참사, 희망버스, 천안함 사건까지 사회적 이슈를 마주한 평론가의 희망과 절망을 오가는 시선을 담았다. ‘시’라는 주제 아래 우리가 왜 시를 읽지 않으면 안 되는지를 행간으로 권하는 글을 묶은 4부, 여러 출판사의 시인선 기념호에 부치는 글들을 묶은 5부, 읽을 만한 짧은 소설을 권하는 ‘노벨라 베스트 6’, 경향신문에 닷새간 연재했던 ‘인생의 책 베스트 5’ 등을 수정, 보완해 수록한 부록으로 구성되었다.",428쪽,Topic #3,0.823846080241324
슬픔,이끼숲,(Untold Originals(언톨드 오리지널스)),천선란 저자(글),자이언트북스,2023년 5월 2일,"14,220원",9.81,https://contents.kyobobook.co.kr/sih/fit-in/200x0/pdt/9791191824216.jpg,지하 도시 사랑 슬픔 이끼 연작 소설 소마,소설,"한국과학문학상 장편 부문 대상, SF어워드 장편 부문 우수상 수상 작가천선란 연작소설 『이끼숲』“구하는 이야기를 써야겠다고 생각했다. 내 이야기는 끝내 구하는 이야기가 된다고 생각하면서도, 조금 더 뚜렷하게 구해야겠다고 생각했다.”. ‘우리는 모두 천천히 달리는 연습을 해야 한다’는 메모로부터 출발한 이야기 『천 개의 파랑』(한국과학문학상 장편 부문 대상 수상작)에서, ‘목놓아 울다 문득 나무와 들풀이 듣고 있을지도 모른다고 생각’하며 누군가의 슬픔을 상상했던 날로부터 시작된 이야기 『나인』(SF어워드 장편 부문 우수상 수상작)까지, 천선란의 이야기는 어떤 바람을 품고 있다. 그리고 이러한 바람에 공명하며, 독자들은 그를 ‘2022 한국 문학의 미래가 될 젊은 작가’로 선정한 것일 테다. 만일 당신이 지금 이 세계에 여전히 살아남아 있다면, ‘구하고 싶다’는 말이 무엇을 의미하는지 모르기란 오히려 어려운 일이다. 어느 순간부터 우리의 마음속에서는 ‘살고 싶다’는 강렬한 생존 욕구만큼이나 누군가를, 혹은 무언가를 구하려는 의지가 커진 듯하다. 아마 이 마음은 출구 없이 꽉 닫힌 이 세계에 작용하는 압력에 비례하여 더욱 간절해졌을 것이다. 그러므로 새로운 이야기를 세상에 내보내면서 “구하는 이야기를 써야겠다고 생각했다. 내 이야기는 끝내 구하는 이야기가 된다고 생각하면서도, 조금 더 뚜렷하게 구해야겠다고 생각했다”라고 고백하는 작가의 목소리는 결코 예사롭게 들리지 않는다. 이 작품이 이야기의 세계에 존재해온 ‘구원 서사’라기보다, 말 그대로 이야기의 안팎에서 누군가를, 혹은 무언가를 정말로 구하고 싶다는 작가의 강력한 바람으로 쓰여졌음을 짐작게 하기 때문이다. 살아 있는 존재들로 이루어진 이 세계에서 결코 눈 돌리지 않는 작가가 우리와 함께 한 시기를 통과하고 있다는 사실, 이로 인한 안도감과 든든함으로 독자들에게 『이끼숲』을 전한다.",279쪽,Topic #1,0.8118257663052592
슬픔,젊은 베르테르의 슬픔,(세계문학전집  25),"요한 볼프강 폰 괴테 저자(글), 박찬기 번역",민음사,1999년 3월 20일,"7,200원",9.46,https://contents.kyobobook.co.kr/sih/fit-in/200x0/pdt/9788937460258.jpg,세계고전문학 사랑 죽음 희곡집 국내 초역 수업 시대,소설,"독일의 대문호인 저자가 25세 되던 해 봄, 이미 약혼자가 있는 샤로테 부프를 사랑하게 되면서, 그녀를 향한 이룰 수 없는 사랑에 절망하고 고통스러워하던 당시의 심정과 남편이 있는 부인을 사랑하다 자살한 친구의 이야기를 연결해 쓴 작품.",244쪽,Topic #2,0.7405011529871636
슬픔,말을 잃고 말을 얻다,조재형 산문집 오늘을 사는 어제의 당신에게,조재형 저자(글),소울앤북,2023년 9월 25일,"13,500원",0.0,https://contents.kyobobook.co.kr/sih/fit-in/200x0/pdt/9791191697087.jpg,민형사 장삼이사 온유 편람 서사 풍파,시/에세이,"법무사이자 시인인 조재형의 두 번째 산문집 『말을 잃고 말을 얻다』가 ‘오늘을 사는 어제의 당신에게’라는 부제를 달고 도서출판 소울앤북에서 발간되었다. 수사관으로 16년여 동안 사건 현장에서 보냈고 법무사로 전직한 후 20년간 민형사 분쟁의 한복판에서 당사자끼리 거리를 좁혀가는 방법을 발견하고 실행해온 지난날을 문학적 감성으로 모아 엮었다.  법의 이야기 사이 사이에는 추억의 제국에서 벌어졌던 자전적인 서사는 물론 각양각색의 인물군을 통하여 저자만이 획득한 특별한 세계의 이면을 들여다볼 수 있다. 또한 문득문득 생각나는 가족, 친구, 이웃과의 이별을 통해 죽음의 세계를 통찰할 수 있으며 시골 법무사로 살아가면서 느끼는 슬픔과 행복의 정체도 오롯하게 엿볼 수 있다.  60편의 에세이 중 제1부는 저자의 개인적 서사를 나누어 수록하였고, 제2부는 시인으로서 잡지에 발표한 글을 수록하였으며, 제3부와 4부는 수사관과 법무사로서 경험한 사건들의 편람 등을 드라마틱하게 엮어놓았다. 한평생 법과 문학의 거리를 좁히는 일에 천착해온 인간 조재형의 서늘한 사유와 온유한 마음을 거친 풍파를 헤쳐 나가는 우리네 장삼이사들도 어제가 오늘인 듯 함께 느껴보았으면 한다.",286쪽,Topic #1,0.8513216954346903
